image_id,identity,path,source_region,date,relative_age,location,latitude,longitude,encounter,client_id
0,lynx_123,CzechLynx/sumava/lynx_123/17689_lynx_123.png,sumava,05-01-2018,1.0,bad_leonfelden-1,48.5469,14.25388,5262,client_2_sumava
1,lynx_123,CzechLynx/sumava/lynx_123/17690_lynx_123.png,sumava,05-01-2018,1.0,bad_leonfelden-1,48.5469,14.25388,5262,client_2_sumava
2,lynx_123,CzechLynx/sumava/lynx_123/17691_lynx_123.png,sumava,05-01-2018,1.0,bad_leonfelden-1,48.5469,14.25388,5262,client_2_sumava
3,lynx_005,CzechLynx/sumava/lynx_005/17692_lynx_005.png,sumava,14-01-2018,2.0,bad_leonfelden-1,48.5469,14.25388,5263,client_2_sumava
4,lynx_005,CzechLynx/sumava/lynx_005/17693_lynx_005.png,sumava,14-01-2018,2.0,bad_leonfelden-1,48.5469,14.25388,5263,client_2_sumava
5,lynx_005,CzechLynx/sumava/lynx_005/17694_lynx_005.png,sumava,14-01-2018,2.0,bad_leonfelden-1,48.5469,14.25388,5263,client_2_sumava
6,lynx_108,CzechLynx/sumava/lynx_108/17695_lynx_108.png,sumava,23-06-2022,0.0,susice-1,49.2039,13.48618,5264,client_2_sumava
7,lynx_108,CzechLynx/sumava/lynx_108/17696_lynx_108.png,sumava,23-06-2022,0.0,susice-1,49.2039,13.48618,5264,client_2_sumava
8,lynx_082,CzechLynx/sumava/lynx_082/17697_lynx_082.png,sumava,22-11-2019,1.0,stachy-1,49.10974,13.61662,5265,client_2_sumava
9,lynx_082,CzechLynx/sumava/lynx_082/17698_lynx_082.png,sumava,22-11-2019,1.0,stachy-1,49.10974,13.61662,5266,client_2_sumava
10,lynx_082,CzechLynx/sumava/lynx_082/17699_lynx_082.png,sumava,22-11-2019,1.0,stachy-1,49.10974,13.61662,5266,client_2_sumava
11,lynx_082,CzechLynx/sumava/lynx_082/17700_lynx_082.png,sumava,22-11-2019,1.0,stachy-1,49.10974,13.61662,5266,client_2_sumava
12,lynx_082,CzechLynx/sumava/lynx_082/17701_lynx_082.png,sumava,14-01-2020,2.0,stachy-1,49.10974,13.61662,5267,client_2_sumava
13,lynx_082,CzechLynx/sumava/lynx_082/17702_lynx_082.png,sumava,14-01-2020,2.0,stachy-1,49.10974,13.61662,5268,client_2_sumava
14,lynx_082,CzechLynx/sumava/lynx_082/17703_lynx_082.png,sumava,14-01-2020,2.0,stachy-1,49.10974,13.61662,5269,client_2_sumava
15,lynx_082,CzechLynx/sumava/lynx_082/17704_lynx_082.png,sumava,14-01-2020,2.0,stachy-1,49.10974,13.61662,5269,client_2_sumava
16,lynx_082,CzechLynx/sumava/lynx_082/17705_lynx_082.png,sumava,14-01-2020,2.0,stachy-1,49.10974,13.61662,5269,client_2_sumava
17,lynx_134,CzechLynx/sumava/lynx_134/17706_lynx_134.png,sumava,04-02-2021,2.0,stachy-1,49.10974,13.61662,5270,client_2_sumava
18,lynx_134,CzechLynx/sumava/lynx_134/17707_lynx_134.png,sumava,04-02-2021,2.0,stachy-1,49.10974,13.61662,5271,client_2_sumava
19,lynx_134,CzechLynx/sumava/lynx_134/17708_lynx_134.png,sumava,08-03-2021,2.0,stachy-1,49.10974,13.61662,5272,client_2_sumava
20,lynx_134,CzechLynx/sumava/lynx_134/17709_lynx_134.png,sumava,08-03-2021,2.0,stachy-1,49.10974,13.61662,5273,client_2_sumava
21,lynx_134,CzechLynx/sumava/lynx_134/17710_lynx_134.png,sumava,08-03-2021,2.0,stachy-1,49.10974,13.61662,5274,client_2_sumava
22,lynx_134,CzechLynx/sumava/lynx_134/17711_lynx_134.png,sumava,08-03-2021,2.0,stachy-1,49.10974,13.61662,5275,client_2_sumava
23,lynx_097,CzechLynx/sumava/lynx_097/17712_lynx_097.png,sumava,11-03-2021,1.0,stachy-1,49.10974,13.61662,5276,client_2_sumava
24,lynx_097,CzechLynx/sumava/lynx_097/17713_lynx_097.png,sumava,11-03-2021,1.0,stachy-1,49.10974,13.61662,5277,client_2_sumava
25,lynx_097,CzechLynx/sumava/lynx_097/17714_lynx_097.png,sumava,11-03-2021,1.0,stachy-1,49.10974,13.61662,5278,client_2_sumava
26,lynx_097,CzechLynx/sumava/lynx_097/17715_lynx_097.png,sumava,11-03-2021,1.0,stachy-1,49.10974,13.61662,5279,client_2_sumava
27,lynx_097,CzechLynx/sumava/lynx_097/17716_lynx_097.png,sumava,11-03-2021,1.0,stachy-1,49.10974,13.61662,5280,client_2_sumava
