image_id,identity,path,bbox,date,orientation,segmentation,species
6359,951f3bbf-f9f1-4ace-ab20-ef153169384f,leopard.coco/images/train2022/000000006344.jpg,"[30, 46, 2347, 1341]",,left,,leopard
2599,6884b482-7e06-461c-ab3e-42e3ac27511f,leopard.coco/images/train2022/000000002590.jpg,"[1056, 741, 1344, 624]",,left,,leopard
5726,951f3bbf-f9f1-4ace-ab20-ef153169384f,leopard.coco/images/train2022/000000005713.jpg,"[887, 809, 547, 220]",,left,,leopard
6360,951f3bbf-f9f1-4ace-ab20-ef153169384f,leopard.coco/images/train2022/000000006345.jpg,"[144, 0, 2256, 1438]",,left,,leopard
5722,951f3bbf-f9f1-4ace-ab20-ef153169384f,leopard.coco/images/train2022/000000005709.jpg,"[0, 1446, 646, 334]",,left,,leopard
5732,951f3bbf-f9f1-4ace-ab20-ef153169384f,leopard.coco/images/train2022/000000005719.jpg,"[776, 877, 592, 329]",,front,,leopard
5127,951f3bbf-f9f1-4ace-ab20-ef153169384f,leopard.coco/images/train2022/000000005114.jpg,"[0, 268, 1021, 751]",,left,,leopard
6722,951f3bbf-f9f1-4ace-ab20-ef153169384f,leopard.coco/images/train2022/000000006695.jpg,"[95, 676, 511, 1093]",,front,,leopard
2997,4f8ff8ad-8782-4a1c-be11-4aa4021a3706,leopard.coco/images/train2022/000000002986.jpg,"[964, 539, 930, 418]",,left,,leopard
5196,951f3bbf-f9f1-4ace-ab20-ef153169384f,leopard.coco/images/train2022/000000005183.jpg,"[1470, 826, 250, 304]",,back,,leopard
6504,951f3bbf-f9f1-4ace-ab20-ef153169384f,leopard.coco/images/train2022/000000006489.jpg,"[259, 209, 2133, 1296]",,back,,leopard
6371,951f3bbf-f9f1-4ace-ab20-ef153169384f,leopard.coco/images/train2022/000000006356.jpg,"[93, 77, 2194, 1075]",,left,,leopard
6711,951f3bbf-f9f1-4ace-ab20-ef153169384f,leopard.coco/images/train2022/000000006684.jpg,"[250, 464, 753, 1109]",,right,,leopard
6380,951f3bbf-f9f1-4ace-ab20-ef153169384f,leopard.coco/images/train2022/000000006365.jpg,"[0, 0, 2348, 1476]",,front,,leopard
6715,951f3bbf-f9f1-4ace-ab20-ef153169384f,leopard.coco/images/train2022/000000006688.jpg,"[266, 579, 485, 702]",,front,,leopard
6437,951f3bbf-f9f1-4ace-ab20-ef153169384f,leopard.coco/images/train2022/000000006422.jpg,"[0, 104, 2285, 1956]",,front,,leopard
6731,951f3bbf-f9f1-4ace-ab20-ef153169384f,leopard.coco/images/train2022/000000006704.jpg,"[10, 527, 1319, 819]",,left,,leopard
6688,951f3bbf-f9f1-4ace-ab20-ef153169384f,leopard.coco/images/train2022/000000006661.jpg,"[222, 544, 592, 1050]",,right,,leopard
6646,951f3bbf-f9f1-4ace-ab20-ef153169384f,leopard.coco/images/train2022/000000006620.jpg,"[701, 479, 1000, 597]",,left,,leopard
6404,951f3bbf-f9f1-4ace-ab20-ef153169384f,leopard.coco/images/train2022/000000006389.jpg,"[0, 101, 2400, 1404]",,right,,leopard
5086,951f3bbf-f9f1-4ace-ab20-ef153169384f,leopard.coco/images/train2022/000000005073.jpg,"[1571, 557, 519, 655]",,back,,leopard
6701,951f3bbf-f9f1-4ace-ab20-ef153169384f,leopard.coco/images/train2022/000000006674.jpg,"[2, 376, 283, 822]",,,,leopard
