client_id,identity_id,sample_count,rarity_class,richness_section,client_richness,species
0,6d626199-276e-4e30-9fcc-09de694be6f1,5,rare,section_1,section_1,leopard
0,838f7692-b42f-4f95-8894-e3269bc8d100,5,rare,section_1,section_1,leopard
0,5833eda0-d461-490f-8d71-3db4587b6222,5,rare,section_1,section_1,leopard
0,e89de0b2-1f3b-4ac3-8a1a-480595aac494,5,rare,section_1,section_1,leopard
0,fed7544d-1138-4fde-91c2-ba323015fc64,5,rare,section_1,section_1,leopard
0,622a4be5-6182-470f-8050-603e804004b4,5,rare,section_1,section_1,leopard
0,0756c24d-5857-466b-bf2b-4238bab60902,5,rare,section_1,section_1,leopard
0,ca672912-4a93-4fa4-be65-98b95dff7491,5,rare,section_1,section_1,leopard
0,1265fe94-c093-4beb-9cf2-28b7eb458cab,5,rare,section_1,section_1,leopard
0,e7d40588-ede3-4854-aee7-7423004fb23b,5,rare,section_1,section_1,leopard
0,72976e23-cf84-45cc-91bd-ab23f608c4d2,5,rare,section_1,section_1,leopard
0,cbd32aaf-6b5c-419a-8f73-29e54550cbb4,5,rare,section_1,section_1,leopard
0,9f82dbee-20d9-47e4-96cb-3291cb5dfc27,5,rare,section_1,section_1,leopard
0,b3cadf4e-6dc5-4d1a-bc0e-adc6805d9329,5,rare,section_1,section_1,leopard
0,ef22f161-9923-4e3a-adc5-d315576c157c,5,rare,section_1,section_1,leopard
0,09ddb320-0c6a-41c0-9f77-026e03dc8f81,14,abundant,section_2,section_1,leopard
0,23950465-b1cb-4e7e-a861-b18ce82aac55,13,species_b,species_b,section_1,hyena
0,8aa6f9e4-e249-494f-a762-11e847296544,6,species_b,species_b,section_1,hyena
0,bb7b8783-ecf2-466b-956a-b07381a49e31,8,species_b,species_b,section_1,hyena
0,2c44f7c6-44e5-4d34-9304-7807962aa038,5,species_b,species_b,section_1,hyena
0,11ae9785-7d82-4bd6-8ce9-e94ed362c23f,7,species_b,species_b,section_1,hyena
0,1b7c302c-68ae-46a7-b18e-a97d342081a9,5,species_b,species_b,section_1,hyena
0,79dafc01-fa64-4db3-b3b6-ed5236ed6a68,6,species_b,species_b,section_1,hyena
0,0eac9e8c-6604-4224-8017-7552aea6cf42,5,species_b,species_b,section_1,hyena
0,f4a2038b-8da9-451e-ae71-80cb90cb07b3,28,species_b,species_b,section_1,hyena
0,0b85b8c4-5ea9-46bd-8ba2-86ee385b1eb3,5,species_b,species_b,section_1,hyena
0,36fe7f0d-eb06-416e-b9c3-0387b970ccc9,5,species_b,species_b,section_1,hyena
0,5c6bdd77-0364-48e8-8022-591ca47f076e,10,species_b,species_b,section_1,hyena
0,9d4d0203-ff17-4318-bd95-f1871e4aba4b,5,species_b,species_b,section_1,hyena
0,4f895a17-6192-4ff1-863a-004837871796,10,species_b,species_b,section_1,hyena
0,e7d7fd1f-5a2d-4073-ac1f-59f6268ba8de,10,species_b,species_b,section_1,hyena
0,c1593d0b-5f78-4f62-8304-932d7fbcc9fe,7,species_b,species_b,section_1,hyena
0,67006b29-4adc-41dc-9b30-39a94363a81a,16,species_b,species_b,section_1,hyena
0,89390731-0ff1-454f-a2ac-8017c49d8da6,8,species_b,species_b,section_1,hyena
0,20e1204f-ae7b-4297-b578-ef07ac24829a,7,species_b,species_b,section_1,hyena
0,7802d893-e75c-48c3-b822-8a9704bbbd4d,5,species_b,species_b,section_1,hyena
0,c5c66d36-d1a6-412e-8289-0b5d8b275be9,7,species_b,species_b,section_1,hyena
0,faf75b6e-88a9-4213-ad92-b3c8d1accdfc,8,species_b,species_b,section_1,hyena
0,c273c534-7efa-4da8-bdba-6fdb44d92fed,6,species_b,species_b,section_1,hyena
0,c7fc642b-3a46-4bda-ac76-abcbffdf2260,11,species_b,species_b,section_1,hyena
0,e1cb11c3-48d4-474d-9881-affe8b0d02d5,7,species_b,species_b,section_1,hyena
1,9fe80e80-aa35-43e2-96c7-74335517fb74,5,rare,section_1,section_1,leopard
1,14a1f572-2a8a-4f98-b740-0d6fb9b458e6,5,rare,section_1,section_1,leopard
1,fb1ee710-dcba-4201-b8b1-4fa5412ad5ad,5,rare,section_1,section_1,leopard
1,809104ee-efb2-4e01-93b5-368340f145e8,5,rare,section_1,section_1,leopard
1,2f19ecbf-5bea-470e-896d-86bc03702252,5,rare,section_1,section_1,leopard
1,d01218f6-d32d-458a-8c08-6aca4c069869,5,rare,section_1,section_1,leopard
1,3737de68-0b0a-44bd-b108-45737956d45a,5,rare,section_1,section_1,leopard
1,9354aeb2-adb2-4470-ba31-ee4cbbc97ef2,5,rare,section_1,section_1,leopard
1,3de10760-2a56-4499-92f9-003673aa62b2,5,rare,section_1,section_1,leopard
1,ff88f9ab-31ce-4eba-a0d7-580320c62580,5,rare,section_1,section_1,leopard
1,4959533c-be2b-418f-8510-92fd01c92358,5,rare,section_1,section_1,leopard
1,8f083705-655b-4a17-a983-a0742d75dcb0,5,rare,section_1,section_1,leopard
1,c295572c-78f0-4b3e-bd73-3f6880e1324f,5,rare,section_1,section_1,leopard
1,efa2cf9b-bc5d-4ba3-b291-85cfe759726c,5,rare,section_1,section_1,leopard
1,5f7ddd9d-c995-4e52-b3f2-2bd2a4ef553e,5,rare,section_1,section_1,leopard
1,0f38564b-babb-43bd-b8e1-3f653ec442bb,11,common,section_2,section_1,leopard
1,c9f40dfb-0a95-4038-a148-d4ba180b91e2,98,abundant,section_3,section_1,leopard
1,f39b36c5-c265-4825-ba79-87f998ed6746,34,abundant,section_3,section_1,leopard
1,09cbe21a-f820-4db4-a314-cb3cc7fa17ff,6,common,section_1,section_1,leopard
1,b5c37454-cf12-49c5-96c0-aff806c293c2,6,species_b,species_b,section_1,hyena
1,7b38f393-27e8-45e1-9769-fa9af9f591f9,45,species_b,species_b,section_1,hyena
1,204b687d-7113-4c69-95a9-6d40ef0e59e8,9,species_b,species_b,section_1,hyena
1,2b13d5a4-831c-4c87-8294-4b0c61541e3b,10,species_b,species_b,section_1,hyena
1,310eb8ee-7097-4ea5-b91e-31ce40b9685c,31,species_b,species_b,section_1,hyena
1,143bf01f-d0f1-4ec9-bedd-ad0aa26e0cc2,14,species_b,species_b,section_1,hyena
1,ace33278-b65f-43d4-9c12-530e420ddef5,22,species_b,species_b,section_1,hyena
1,d395c979-0cc5-456a-bbb3-c71f42849a88,7,species_b,species_b,section_1,hyena
1,06569257-d4a3-45a1-af58-688cb9a7bf5a,9,species_b,species_b,section_1,hyena
1,160e1683-7837-43ea-8ce7-755d101c419c,25,species_b,species_b,section_1,hyena
