cosine_sim,student_norm,teacher_norm
0.5056,28.1578,33.9578
0.6714,27.5499,28.4048
0.6806,27.6886,27.7139
0.6659,26.9346,22.2457
0.6620,27.5462,27.2214
0.6069,27.4695,33.1803
0.6850,27.3375,30.0698
0.6693,27.3932,32.6641
0.6386,27.4970,36.1967
0.6564,27.3634,34.3125
0.6750,27.1707,33.3308
0.7018,27.9183,31.2545
0.6910,27.9211,28.3505
0.6746,27.1209,23.2673
0.6332,27.0108,24.0931
0.6748,27.2653,22.6126
0.7315,27.2649,23.0417
0.7410,26.8495,22.2305
0.7141,27.5572,23.1933
0.6237,27.3147,20.8636
0.5077,28.1662,33.9032
0.6742,27.4673,28.3098
0.6798,27.7182,29.0788
0.6623,26.9763,21.8148
0.6649,27.5367,25.3622
0.6081,27.5084,31.3017
0.7022,27.3086,26.0823
0.6782,27.7754,33.4855
0.6358,27.5966,34.4011
0.6614,27.5166,35.3601
0.6574,27.4051,31.3655
0.6656,27.9763,31.2789
0.7164,28.0768,28.9789
0.6717,27.3298,22.9456
0.6399,27.2057,25.5715
0.7221,27.4858,22.4369
0.7500,27.2858,23.0625
0.7427,27.0053,23.0022
0.6911,27.7401,23.1032
0.6225,27.3240,19.7188
